Country of residence,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,2837,4150,4334,4519,3581,3379,3200,1755,1288,2359
Albania,7889,8746,9992,12883,17056,20713,21457,11192,8204,15753
Algeria,9558,12465,13623,14427,15242,15224,16063,6140,1106,6536
Andorra,1271,1611,1344,1638,1720,1949,1765,659,172,1279
Angola,12617,14715,13787,10281,9603,8864,7730,2737,1397,3489
Antigua and Barbuda,15151,14834,15022,17540,15893,16873,17806,7762,5605,12908
Argentina,744864,768469,806698,986574,1129997,1146405,926594,369659,241215,558402
Armenia,7431,8232,8654,10701,13774,14272,16956,9999,9674,12435
Australia,1453814,1480176,1499354,1529052,1576901,1563991,1524305,607868,47627,537835
Austria,237429,247122,235601,240182,237611,233473,235194,92756,18331,141615
Azerbaijan,7162,7347,8419,8577,9104,9007,9418,3965,2354,5312
Bahamas,244650,240451,249276,276734,304752,295093,310405,143531,120316,214664
Bahrain,7341,8849,9313,9663,8767,8614,7506,2884,2199,5326
Bangladesh,30314,43560,43938,44211,40120,45351,45080,18986,20445,43527
Barbados,58558,61052,62214,68630,69318,69433,69585,28150,9790,35702
Belarus,14211,16166,17486,21673,22589,24229,25270,11650,2720,5463
Belgium,315611,334279,327654,319549,325897,335312,330226,123859,19865,209050
Belize,25327,26577,28160,31564,31340,32649,33515,13736,13331,28468
Benin,2821,3266,3473,3420,3330,3243,3092,1426,775,1590
Bhutan,633,1034,1215,1069,1156,1229,1244,501,175,498
Bolivia,50838,55100,65089,74813,76933,77165,81073,34008,49219,63377
Bosnia and Herzegovina,7465,9380,9699,10355,11020,11315,10995,5154,2696,7060
Botswana,2381,2623,2914,2904,3105,3185,3237,1294,490,2009
Brazil,2143154,2390245,2505525,1991441,2147412,2529813,2417221,1079508,122941,1063680
Brunei,2022,2106,1880,1675,1479,1589,1523,599,146,571
Bulgaria,40029,43059,43247,44935,43815,45327,47275,21219,9455,24672
Burkina Faso,3928,5267,6432,7473,6002,5227,5356,1898,1619,2950
Burma,4967,6554,7583,9541,11502,11549,12679,5279,1705,3869
Burundi,1740,1732,1772,1678,2106,1475,1608,613,349,939
Cabo Verde,3140,4544,4451,5636,5317,4913,4663,1388,740,2356
Cambodia,4898,4752,3756,5710,5947,6838,7787,3193,1249,6664
Cameroon,9639,11673,13070,15009,15676,14405,11992,4791,1858,6933
Canada,4445881,13254972,13408292,13019782,13028998,13704855,13926155,6737778,1512473,6903580
Central African Republic,189,374,342,355,385,438,440,419,422,330
Chad,550,1190,1176,1142,1195,918,1085,384,323,780
Chile,245792,279754,354366,403463,423098,454757,471793,207111,171357,503979
China People's Republic,2098801,2555896,2935175,3280179,3383133,3420805,3256187,1051690,186177,397642
Colombia,830891,985073,990683,953931,994978,1055609,1108458,466993,915230,1124998
Comoros,158,247,197,187,206,180,168,54,49,102
Congo Democratic Republic,3861,6973,7321,8402,8343,9620,9724,3466,2251,6496
Congo Republic,2859,2324,1969,1813,1785,1761,1617,543,255,921
Costa Rica,207840,228996,241739,306551,319831,335957,363877,190017,208073,277278
Cote d'Ivoire,5219,7742,8276,9367,9223,9549,9968,4075,1664,4741
Croatia,26905,29808,32189,34022,35078,37646,39935,19261,8726,31946
Cuba,34615,43737,52215,52784,72363,77715,64510,22151,8448,13079
Cyprus,8699,10582,10282,11491,12465,12809,13396,5116,1853,6944
Czechia,100056,115080,116177,122423,136282,141599,147310,58407,9740,86281
Denmark,324608,351910,364769,365671,377327,371310,349665,138917,14744,194339
Djibouti,338,608,546,875,1486,442,391,171,112,244
Dominica,6783,7060,7087,7313,6696,6293,6652,2427,1404,3521
Dominican Republic,280563,304683,338009,397784,458203,486495,516384,266300,362857,458771
Ecuador,268332,337494,384373,433038,445969,466436,480255,222479,347530,385660
Egypt,89578,99716,104049,111226,96715,101379,105571,50734,38032,61897
El Salvador,119572,138329,173145,214681,209730,225133,245090,109574,166615,244800
Equatorial Guinea,1197,2057,1687,1620,1617,1817,1854,740,509,1116
Eritrea,1528,2583,3094,3681,3755,1634,1193,571,283,724
Estonia,20942,24733,24103,27323,28544,28019,29673,14641,2306,16891
Eswatini,863,1129,1145,1080,562,1329,1483,508,286,969
Ethiopia,16884,18276,18967,23881,25110,25986,25594,10879,14668,17803
Fiji,13996,14977,13442,13043,12343,12345,11943,4929,595,7555
Finland,161020,173365,171655,178710,175076,168023,167146,79197,5675,73184
France,1959424,2115351,2075668,2068940,2099450,2236217,2336381,966849,127069,1469979
Gabon,2792,2971,3079,3111,2862,2548,2476,1050,723,1424
Gambia,2551,2695,2310,2230,2108,2311,2384,1040,874,1758
Georgia,6628,9102,11110,9617,5617,12191,13272,5972,5033,9309
Germany,2359681,2448591,2381765,2367813,2409465,2381702,2328365,941831,144766,1404348
Ghana,27822,29460,27965,28995,28824,34295,38328,14225,12531,28855
Greece,81400,89425,88012,96967,101625,108897,111782,53121,11921,72690
Grenada,10674,10872,12484,12824,13012,13253,14451,5690,3913,9458
Guatemala,224006,252586,256875,290019,302128,307313,321061,162755,231488,288179
Guinea,2777,3250,3223,3791,3939,3522,3578,1389,884,1825
Guinea-Bissau,126,285,295,252,328,273,273,104,102,202
Guyana,39412,43549,56719,71203,73818,65299,62224,22735,34731,53730
Haiti,108382,124841,136804,161877,154981,146325,140909,68221,76040,66563
Holy See,130,136,144,128,162,150,129,67,62,112
Honduras,157751,176636,183851,220021,231029,236927,242057,119460,212104,257902
Hungary,81213,91102,92587,99880,108588,113979,127016,54851,6880,65106
Iceland,55202,56250,56149,60879,70124,76784,71403,29004,2129,38445
India,1491712,1720729,1898327,1988420,2055480,2223163,2316025,1059774,540303,1793061
Indonesia,123583,133013,137940,134536,144790,153099,154598,69960,32203,103600
Iran,26144,33303,35266,31805,21892,9582,5843,2671,3412,9888
Iraq,17077,23858,21381,21116,19123,16991,17668,8201,1587,5212
Ireland,487428,518282,524500,543054,575551,630939,644352,270763,17770,399988
Israel,381206,400169,458225,465738,481255,503918,466595,210114,165454,354478
Italy,1205816,1366572,1319429,1357516,1384255,1456866,1479146,563266,145088,865392
Jamaica,233430,265740,304611,351792,352461,370408,376270,165277,164754,249908
Japan,4298081,4199152,4021857,3987687,3975012,3809830,3916108,1731801,130528,487626
Jordan,38867,44886,53559,54551,52240,53203,52060,20864,19180,31113
Kazakhstan,22422,26066,29519,27057,31769,32853,33346,14553,12290,24255
Kenya,22105,27425,29008,31400,35876,39708,43509,18136,13170,24474
Kiribati,654,762,953,944,1007,886,768,250,34,167
Korea North,59,84,99,120,69,77,87,31,14,52
Korea South,1656795,1780662,1946887,2197905,2510988,2541826,2352342,1120013,168257,795357
Kosovo,,5204,5663,5595,5403,5085,5253,2602,2089,4811
Kuwait,48784,64754,73943,77167,61578,60044,56461,21513,16642,33045
Kyrgyzstan,4584,4128,3609,3482,1943,4955,5016,2579,2177,5135
Laos,2556,2578,2294,2138,2760,2463,2532,951,68,1290
Latvia,22330,23871,23963,24768,27205,27227,28278,13637,3299,18032
Lebanon,42775,50632,51894,51830,48860,48455,48458,20367,15239,27575
Lesotho,524,639,593,716,680,723,718,227,122,350
Liberia,4152,5152,5360,4559,4580,4368,4341,1403,739,1283
Libya,4016,4120,2879,2138,1481,915,842,400,416,1154
Liechtenstein,2234,2330,2350,2254,2183,2108,2035,785,136,1163
Lithuania,27854,31612,32932,33528,28461,45709,48848,21326,4124,32818
Luxembourg,15785,16260,15748,15519,14395,15694,16351,5852,861,10440
Madagascar,1265,1699,1750,1993,1975,2131,2387,952,292,1543
Malawi,2359,2547,3219,3198,3356,3377,3262,1218,614,2299
Malaysia,102605,108926,105570,102778,101047,108370,108764,43914,8096,38796
Maldives,420,559,564,453,659,490,521,282,179,538
Mali,3806,4331,4219,4664,4653,4787,4665,1986,1587,2737
Malta,6379,6751,6434,6936,7319,8136,9339,3694,817,5818
Marshall Islands,176,261,200,180,201,194,261,90,23,42
Mauritania,1303,1953,2083,1922,1403,1120,1725,657,343,725
Mauritius,5892,7095,6825,6967,7026,7637,8484,3614,1111,4543
Mexico,17980784,20002936,20378001,19767022,19326562,21182686,21412174,11004919,4551988,13644287
Micronesia Federated States,209,130,159,175,181,370,398,139,24,48
Moldova,12604,12939,12600,12954,11561,10340,10088,5330,4626,7239
Monaco,1194,1210,1311,1373,1249,1157,1234,537,147,769
Mongolia,11819,14013,14808,15447,15380,16202,18769,8316,3278,11662
Morocco,30618,34910,37058,38333,36968,35248,39723,17261,10827,29328
Mozambique,2278,2729,2807,2728,2546,2803,2676,1164,444,1525
Namibia,2165,2447,2565,2524,2739,2749,2690,1196,680,1617
Nauru,85,110,115,187,128,153,162,54,0,53
Nepal,19419,23387,30019,36526,39062,36733,39690,17455,16141,34741
Netherlands,781198,814560,801610,820312,853332,890570,893210,355983,71434,528432
New Zealand,295210,318692,336645,353615,371173,376671,371055,137102,12987,117790
Nicaragua,59296,65866,69935,79704,77049,80186,78385,37769,34943,60223
Niger,1583,1566,1759,1953,2054,1909,1822,724,415,1172
Nigeria,157509,197750,214519,216111,215801,221819,181000,64728,41325,78104
North Macedonia,9436,9855,10321,10818,11979,12307,12236,5058,3073,6980
Norway,320842,345156,336555,303526,319594,306062,291979,110891,11261,129026
Oman,7794,10717,11419,11430,10331,10866,10738,5570,3532,6156
Pakistan,78246,102953,119644,137567,124800,129736,124207,56729,48462,90926
Palau,136,90,160,137,91,171,164,47,0,27
Panama,143365,153115,162027,173906,162076,163848,177548,85466,75465,125206
Papua New Guinea,1301,1438,1939,1507,1122,1022,1393,465,142,681
Paraguay,27498,31410,32942,33663,32283,36127,34900,14155,29016,21653
Peru,261827,292752,320007,344978,342442,347186,371948,182868,322114,351278
Philippines,358961,404566,420917,451332,485524,498980,514858,235866,113585,285447
Poland,168854,207179,217453,230781,242920,265052,276937,128063,24492,239157
Portugal,174757,194054,190056,193066,204627,226500,229025,97082,18375,151793
Qatar,15894,18740,20194,19961,16352,16779,16722,6649,8682,12113
Romania,82238,94041,96349,103562,108786,117798,126038,55284,24788,67400
Russia,364116,413011,323435,317538,344368,290901,301321,145050,80961,73010
Rwanda,4074,5039,5065,6174,5883,6963,7908,3067,2733,4958
Saint Kitts and Nevis,11559,12449,12950,13011,13101,12936,14366,5679,2111,7460
Saint Lucia,15959,16922,17859,19565,18635,18814,20787,8121,5771,12858
Saint Vincent and the Grenadines,12204,12371,12562,12639,12368,12374,13529,5741,3421,8025
Samoa,2021,2137,2413,2576,2459,2800,3006,1360,514,1236
San Marino,745,787,912,768,751,807,775,311,47,281
Sao Tome and Principe,77,120,106,89,99,94,75,22,11,36
Saudi Arabia,232782,291715,306182,264698,190983,182445,167228,52729,42012,73984
Senegal,10518,11390,10796,11320,11287,10438,11708,5096,4706,8380
Serbia and Montenegro (former),3376,7336,40528,41320,35279,20031,18541,6474,0,0
Seychelles,429,480,508,529,465,498,472,178,73,247
Sierra Leone,3188,3547,3288,3303,3878,3527,3603,1334,1235,3505
Singapore,162922,168686,163668,160186,161433,166194,178159,77300,11164,84689
Slovakia,49173,54303,55113,58577,61425,63839,69661,26035,4090,37893
Slovenia,22977,26152,27977,28326,29360,30969,34132,15586,2736,16990
Solomon Islands,411,342,307,506,335,318,318,136,21,221
Somalia,215,343,359,441,321,240,154,80,144,207
South Africa,135400,148243,153290,150967,155696,168289,167393,80683,29047,93345
South Sudan,,528,541,487,495,641,668,217,178,421
Spain,934322,1044430,1052251,1116186,1143548,1213431,1256743,507711,185244,885632
Sri Lanka,23015,26816,27954,29591,31478,30584,28436,10748,4994,15781
Sudan,3196,4474,4792,6409,4425,4663,4468,1844,959,2520
Suriname,12618,13316,14971,13259,13624,13178,14487,5207,3235,16294
Sweden,551820,614592,623935,622710,607993,582603,517617,228446,19180,227512
Switzerland,472914,494892,484475,478886,459938,445323,427963,164729,29885,241074
Syria,15004,17187,16010,13575,9954,6349,3746,1471,881,3227
Taiwan,444046,484849,487570,515978,524357,539788,539980,213759,49729,118107
Tajikistan,1709,1836,1999,2307,2394,2196,2100,860,599,1670
Tanzania,7635,8665,9677,8683,8074,8535,8405,3251,1695,6084
Thailand,109761,120540,116992,122840,124577,127783,130777,46974,21097,67607
Timor-Leste,34,226,232,244,238,212,279,107,50,228
Togo,2186,2560,2671,3044,3120,3129,3338,1347,830,1570
Tonga,2202,2561,3417,4497,4276,3453,3717,1585,108,1007
Trinidad and Tobago,164705,174506,189641,197990,195355,191501,210051,87671,16410,113303
Tunisia,11287,13467,13523,15169,14633,14624,15308,6598,3794,10955
Turkey,192113,214958,226665,243688,220195,205199,202923,95838,63489,136588
Turkmenistan,1345,1777,1691,1614,1791,1575,1355,574,105,735
Tuvalu,151,182,167,203,168,189,183,71,0,83
Uganda,9398,10308,11222,11536,12914,14693,15022,5785,2758,7058
Ukraine,87913,100877,118352,127667,130093,129239,129987,68249,49873,79943
United Arab Emirates,28897,38542,40507,41204,36630,39231,40066,15180,13535,25008
United Kingdom,4566669,4814079,4968049,5210880,5076167,5162089,5305437,2169835,212084,3090439
Uruguay,70535,80666,81603,87420,85291,90563,85122,30180,21390,55048
Uzbekistan,9930,10000,11988,12414,14049,12628,10929,3555,1414,9174
Vanuatu,203,208,236,266,245,233,230,98,16,177
Venezuela,815797,774782,643784,645928,583196,546021,496123,187870,204910,250234
Vietnam,73913,93986,114572,121336,134687,137360,143700,53565,12490,59658
Yemen,3904,5896,5549,5679,3839,1868,1530,773,809,2096
Zambia,4887,5441,5627,5430,6071,5928,5597,2312,1243,3809
Zimbabwe,8738,10048,10754,10918,11791,12396,13346,5327,2700,9247
Unknown,164788,25716,51469,161456,95266,85694,85917,42738,28396,60760
